disposition,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasselim,pl_bmassj,pl_bmassjlim,pl_orbeccen,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,disposition_bool
CONFIRMED,-0.2525709385500534,-0.5057761261744615,Transit,-0.6699950361379473,K2,-0.01963005801304098,0.13587518212697655,-0.04423894202965469,0.047994517240600124,0.0,0.0,3.8619636444089584e-17,-3.899110305769455e-17,0.0,-0.27894158321697343,-0.16304613469047705,0.1842194883730088,-0.024985884112792303,-0.2790342863740551,-0.16316297665972068,0.18435760058865508,-0.024985884112792303,-1.1110057611921767e-16,0.0,4.138002579974902e-16,0.0,-2.4275501657824126e-16,1.7598967637923527e-16,0.0,1.0594150887155258e-16,0.0,0.0,0.0,2.3903268498912257e-16,-2.635949834372139e-16,0.0,-0.26942916036826076,0.7227401752097236,-0.40346622172143226,0.39657620007682615,0.0,-0.03678658653934498,0.18380604752770072,0.0379462341570408,0.0,0.4555760955797934,-0.5636719898620609,0.5354714830011202,0.0,-0.2761306133010084,-0.1370892676874385,0.15217151850403632,0.0,-0.3466619386599716,0.3785989467770645,-0.2644031114221367,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,0.0,-1.3372090028670147,0.0,1.2735673100552625,-0.3899381876436237,-0.20419343894125203,0.2249502810035806,-1.1237785369707216,-0.6192315061549155,0.6192315061549155,-0.8038200725592176,-0.6593984642539183,0.6593984642539183,-1.022318083694883,-0.32661517767352943,0.32661517767352943,True
CONFIRMED,-0.2525709385500534,-0.5057761261744615,Transit,-0.6699950361379473,K2,-0.01963005801304098,0.1358555086672439,-0.04424302495690742,0.04800535733198242,0.0,0.8698119256892449,0.6052651096231119,-0.5147286644729397,0.0,-0.29177293943201893,-0.20043108758721237,0.19652541831169498,-0.024985884112792303,-0.29186697407391377,-0.20050126799735465,0.19665457687188104,-0.024985884112792303,-0.871278760686366,-0.7748400602780148,-0.8712801933129588,-0.7748400602780148,-2.146541016570757,-1.219943949035037,0.0,1.0594150887155258e-16,0.0,0.0,-1.4919932848214361,-0.594803297854745,0.6485238977093817,0.0,-0.26942916036826076,0.7984298432107085,-0.024020585590529452,0.017170781232222064,0.0,-0.08203455575463288,-0.0701812803551484,0.1546512758967242,0.0,0.4435327813808559,-0.5349384050123467,0.5842644986566468,0.0,-0.8451560721481288,-0.7244262905535562,0.7340849295947515,0.0,0.18539051872533444,0.08075886474430037,-0.032746534643549985,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,0.0,-1.3372090028670147,0.0,1.2735673100552625,-0.3899381876436237,-0.20419343894125203,0.2249502810035806,-1.1237785369707216,-0.6192315061549155,0.6192315061549155,-0.8038200725592176,-0.6593984642539183,0.6593984642539183,-1.022318083694883,-0.32661517767352943,0.32661517767352943,True
CONFIRMED,-0.2525709385500534,-0.5057761261744615,Transit,-0.6699950361379473,K2,-0.01963005801304098,0.1358555086672439,-0.04424302495690742,0.048008755479751176,0.0,0.0,3.8619636444089584e-17,-3.899110305769455e-17,0.0,-0.2561724197034686,-0.20656882009525052,0.1960723960239198,-0.024985884112792303,-0.25626277880987924,-0.2066313301413241,0.19620187768931022,-0.024985884112792303,-0.8247764671890022,-0.7748400602780148,-0.8247780894258265,-0.7748400602780148,-2.146541016570757,-1.219943949035037,0.0,1.0594150887155258e-16,0.0,0.0,0.0,2.3903268498912257e-16,-2.635949834372139e-16,0.0,-0.26942916036826076,0.7984298432107085,-0.024020585590529452,0.017170781232222064,0.0,0.16253166715710052,-0.04104426901146949,-0.004401591891600684,0.0,3.4280520987687275,3.8129066709312447,-5.133426217767964,0.0,-0.8451560721481288,-2.71697952500315e-16,0.0,0.0,0.18539051872533444,0.08075886474430037,-0.032746534643549985,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,0.0,-1.3372090028670147,0.0,1.2735673100552625,-0.3899381876436237,-0.20419343894125203,0.2249502810035806,-1.1237785369707216,-0.6192315061549155,0.6192315061549155,-0.8038200725592176,-0.6593984642539183,0.6593984642539183,-1.022318083694883,-0.32661517767352943,0.32661517767352943,True
CONFIRMED,-0.2525709385500534,-0.5057761261744615,Transit,1.2185670236556054,K2,-0.01963005801304098,-0.0824473078087124,-0.04427656741875703,0.04810730176504478,0.0,-0.4474221440156185,-0.12049906288766182,0.15058581733971624,0.0,-0.4127699079695976,-0.17052311119548227,0.16466212821458936,-0.024985884112792303,-0.4128764161733138,-0.17063062015577612,0.16481447539243302,-0.024985884112792303,-1.1110057611921767e-16,0.0,4.138002579974902e-16,0.0,-2.146541016570757,-1.219943949035037,0.0,1.0594150887155258e-16,0.0,0.0,0.0,2.3903268498912257e-16,-2.635949834372139e-16,0.0,-0.26942916036826076,-1.746184709584309,0.5412759743595911,-0.32351979895476934,0.0,-1.1214410031295,0.04053936275083145,-0.07597538239634696,0.0,-2.3936548348665707,0.2802825467270768,-0.2633715913793468,0.0,-0.20026055212139235,1.233363785666836,-2.3694532628890626,0.0,2.397841987352562,0.006298844236109293,0.025167609551096717,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,0.0,-0.11507087855974885,0.0,-0.46443336046464645,0.0,4.0081747540307226e-17,4.970254327066643e-17,2.6268025657391214,-0.37133539672114724,0.37133539672114724,1.5847179470748927,0.5759410293306791,-0.5759410293306791,2.321704732908265,5.065454671243415,-5.065454671243415,True
CONFIRMED,-0.2525709385500534,-0.5057761261744615,Transit,0.7464265087072173,K2,-0.01963005801304098,0.051255251593700875,-0.04424649486675393,0.04801555177528866,0.0,0.0,3.8619636444089584e-17,-3.899110305769455e-17,0.0,-0.328593656822998,-0.18723639212027265,0.12282801264492009,-0.024985884112792303,-0.3286914775382729,-0.18732304752524856,0.12301079169485082,-0.024985884112792303,-1.1110057611921767e-16,0.0,4.138002579974902e-16,0.0,-2.4275501657824126e-16,1.7598967637923527e-16,0.0,1.0594150887155258e-16,0.0,0.0,0.0,2.3903268498912257e-16,-2.635949834372139e-16,0.0,-0.26942916036826076,0.0,0.0,0.0,0.0,-1.786335866593519e-16,0.0,0.0,0.0,-1.8758891422872928,0.4102453071493037,0.29144475846239437,0.0,0.0,-2.71697952500315e-16,0.0,0.0,0.0,-2.0666807295563754e-16,-1.6074404084089514e-16,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,0.0,-0.014720853594042762,0.0,-0.3674606916794218,-0.45048155116923105,-0.2006508881292469,0.22075327434070927,1.7044620965878876,7.2979063478409305,-7.2979063478409305,1.0807077712923643,0.16416119813581342,-0.16416119813581342,1.6153697495440968,-0.13343894765830763,0.13343894765830763,True
CONFIRMED,-0.2525709385500534,-0.5057761261744615,Transit,0.7464265087072173,K2,-0.01963005801304098,0.05128028144068895,-0.04423377186398339,0.047964579558757485,0.0,0.0,3.8619636444089584e-17,-3.899110305769455e-17,0.0,-0.2948413325479338,-0.11246645114094739,0.15534157396849724,-0.024985884112792303,-0.2906599431790357,-0.11307867810240044,0.1476446340369631,-0.024985884112792303,-1.1110057611921767e-16,0.0,4.138002579974902e-16,0.0,-2.4275501657824126e-16,1.7598967637923527e-16,0.0,1.0594150887155258e-16,0.0,0.0,0.0,2.3903268498912257e-16,-2.635949834372139e-16,0.0,-0.26942916036826076,0.0,0.0,0.0,0.0,-0.9734140787355559,0.12795039678186818,0.1944144928438054,0.0,4.673458481808985e-16,0.0,0.0,0.0,0.0,-2.71697952500315e-16,0.0,0.0,0.0,-2.0666807295563754e-16,-1.6074404084089514e-16,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,0.0,-0.014720853594042762,0.0,-0.3674606916794218,-0.45048155116923105,-0.2006508881292469,0.22075327434070927,1.7044620965878876,7.2979063478409305,-7.2979063478409305,1.0807077712923643,0.16416119813581342,-0.16416119813581342,1.6153697495440968,-0.13343894765830763,0.13343894765830763,True
FALSE POSITIVE,-0.2525709385500534,-1.2263830060511618,Transit,-1.1421355510863356,K2,-0.01963005801304098,0.18967198869500526,-5.1364984066275925e-18,-7.54540378787927e-18,0.0,0.0,3.8619636444089584e-17,-3.899110305769455e-17,0.0,-0.16494602397420183,0.0,0.0,-0.024985884112792303,-0.16502698329951263,3.416589089090744e-17,3.3693356196980916e-17,-0.024985884112792303,-1.1110057611921767e-16,0.0,4.138002579974902e-16,0.0,-2.4275501657824126e-16,1.7598967637923527e-16,0.0,1.0594150887155258e-16,0.0,0.0,0.0,2.3903268498912257e-16,-2.635949834372139e-16,0.0,-0.26942916036826076,-0.29126109134315403,0.0,0.0,0.0,-0.38452435777704,0.0,0.0,0.0,4.673458481808985e-16,0.0,0.0,0.0,0.0,-2.71697952500315e-16,0.0,0.0,0.0,-2.0666807295563754e-16,-1.6074404084089514e-16,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,0.0,-0.030927170368064152,0.0,-0.3473106982037466,1.557408142185788,0.42359394938367095,-0.5540001656031346,-0.6753121131789503,-0.47091759452787463,0.47091759452787463,-0.8038200725592176,0.02690125440419137,-0.02690125440419137,-0.638375167648452,-0.05294885181863194,0.05294885181863194,False
FALSE POSITIVE,-0.2525709385500534,-1.2263830060511618,Transit,-1.1421355510863356,K2,-0.01963005801304098,0.18962037089305409,-0.04418692808105548,0.047843945312967026,0.0,0.0,3.8619636444089584e-17,-3.899110305769455e-17,0.0,20.909800693834836,21.590608476063785,-21.2884359043081,-0.024985884112792303,20.911752173968985,21.56405556407451,-21.273383403195954,-0.024985884112792303,-1.1110057611921767e-16,0.0,4.138002579974902e-16,0.0,-2.4275501657824126e-16,1.7598967637923527e-16,0.0,1.0594150887155258e-16,0.0,0.0,2.36846845205271,1.625493443678417,-1.8741194243078263,0.0,-0.26942916036826076,0.047540279708873805,-0.4963916836310411,0.45851994192900636,0.0,16.05933615641977,4.387781455227724,-6.923201340683734,0.0,4.673458481808985e-16,0.0,0.0,0.0,-1.224506378046209,-1.5075423210417134,1.5099694777157053,0.0,0.0,-2.0666807295563754e-16,-1.6074404084089514e-16,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,0.0,-0.030927170368064152,0.0,-0.3473106982037466,1.557408142185788,0.42359394938367095,-0.5540001656031346,-0.6753121131789503,-0.47091759452787463,0.47091759452787463,-0.8038200725592176,0.02690125440419137,-0.02690125440419137,-0.638375167648452,-0.05294885181863194,0.05294885181863194,False
FALSE POSITIVE,-0.2525709385500534,-1.2263830060511618,Transit,-0.6699950361379473,K2,-0.01963005801304098,-0.10922527685521272,-0.04427731923255711,0.04810951056109447,0.0,0.0,3.8619636444089584e-17,-3.899110305769455e-17,0.0,-0.11994292494078287,-0.04429385789509204,0.0361251824487143,-0.024985884112792303,-0.11982069347889213,-0.044145145021088295,0.0359629736365648,-0.024985884112792303,-1.1110057611921767e-16,0.0,4.138002579974902e-16,0.0,-2.4275501657824126e-16,1.7598967637923527e-16,0.0,1.0594150887155258e-16,0.0,0.0,0.0,2.3903268498912257e-16,-2.635949834372139e-16,0.0,-0.26942916036826076,1.4195656901394262,0.08439245330401421,-0.09123076700909338,0.0,0.7578573413501355,1.0661621620483293,-1.5154038358806874,0.0,4.673458481808985e-16,0.0,0.0,0.0,0.0,-2.71697952500315e-16,0.0,0.0,-1.2777537390842562,0.6764390288098284,-0.49605968820072316,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,0.0,-0.10358181173401615,0.0,-0.27823472622847983,0.50140864979211,4.0081747540307226e-17,4.970254327066643e-17,-0.3330758312865726,-0.13897693517211662,0.13897693517211662,0.31440658566382673,0.43868108559905705,-0.43868108559905705,-0.27812872845176173,-0.19246501794073653,0.19246501794073653,False
FALSE POSITIVE,-0.2525709385500534,-1.2263830060511618,Transit,-0.6699950361379473,K2,-0.01963005801304098,-0.1092248394586366,-0.04427749041477621,0.04811001348696424,0.0,0.0,3.8619636444089584e-17,-3.899110305769455e-17,0.0,0.2633290363704455,0.0,0.0,-0.024985884112792303,0.2632935817753618,3.416589089090744e-17,3.3693356196980916e-17,-0.024985884112792303,-1.1110057611921767e-16,0.0,4.138002579974902e-16,0.0,-2.4275501657824126e-16,1.7598967637923527e-16,-0.3247323623847278,1.0594150887155258e-16,0.0,0.0,0.0,2.3903268498912257e-16,-2.635949834372139e-16,0.0,-0.26942916036826076,1.5361037503949109,0.0,0.0,0.0,1.2566437170253812,0.0,0.0,0.0,4.673458481808985e-16,0.0,0.0,0.0,0.0,-2.71697952500315e-16,0.0,0.0,0.0,-2.0666807295563754e-16,-1.6074404084089514e-16,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,0.0,-0.10358181173401615,0.0,-0.27823472622847983,0.50140864979211,4.0081747540307226e-17,4.970254327066643e-17,-0.3330758312865726,-0.13897693517211662,0.13897693517211662,0.31440658566382673,0.43868108559905705,-0.43868108559905705,-0.27812872845176173,-0.19246501794073653,0.19246501794073653,False
